Ulasan,Sentimen
Maksa banget disuruh nonton zona merah,Negatif
"kenapa ya liat video , suaranya mutar ،trus videonya gak jalan , tolong di perbaiki ya.",Negatif
Saya kan udah ganti paket . Kok bisa bisanya masih ngambil dana saya . Jadi berlangganan double .,Negatif
banyak sekali iklannya jadi ga fokus kalo nonton ke ganggu iklan.,Negatif
"Seru, asyik semoga bisa menyenangkan",Positif
bagus sih aplikasi nya cuma yaitu iklan nya ganggu banget kadang sampe 1 menit iklan nya bisa gak sih di blokir aja lagi asik2 nonton mala iklan dikit2 iklan,Negatif
Sangat menarik dan saya suka banget dengan vidio ini,Positif
"Tolong selalu update Film nya, Masak Film Mumun gak ada",Negatif
"Udah ada paket langganan, tiba-tiba pas lagi nonton d suruh isi lagi, dah d uninstall baru bisa lagi, aplikasi nya bermasalah mohon d perbaiki, nanti eror harus install ulang lagi, terus-terusan mah repot",Negatif
"Udah beli pAket sebulan,, Cuman seminggu paket da kadaluarsa disuruh beli lagi, pemerasan betul nih aplikasi 😈😈😈",Negatif
"Aplikasi gak siap, kalau udah banyak yang make malah ngebag tolol",Negatif
Aplikasi gak jelas udah langganan masih aja gabisa nonton!!!!!!!!!,Negatif
Sudah berlangganan dan hanya 1 perangkat. Tapi dibilang tidak berlangganan dan tidak bisa nonton. Kadang nonton ad perangkat lain. Pdhal 1 perangkat,Negatif
Bingung.. Cara ngerubah teks layar filmx kayak gimna biar bisa jadi bahasa Indonesia dan ga bahasa inggris .,Negatif
Biar bintang yng menilai,Negatif
bagus aja si,Positif
Luar biasa,Positif
Keren sihh bisa nonton TV online di aplikasi ini👍 Nice!!!,Positif
"Apk gk jelas banyak kali iklan nya, dah lah sering kali muncul iklanya dah gitu 1 menit per iklan dan iklanyapun ada 2,baru 5 mnt nonton dah iklan lagi bosen lihat iklan terus.",Negatif
"Apaan dah VIP nya otomatis kebeli sendiri lagi, alhasil saya baru to up dana ke potong lgi hadehhhh",Negatif
"Buruk sekali dari sebelumnya, paket di hp dan dtv dibedakan",Negatif
Kirain sdh bnr Ternyata ttp aja motongin duit di dana ga transaksi g apa pun,Negatif
Apa apa ini aplikasi udah 3hari saya setiap nonton series original vidio hp langsung ga bisa dipencet apa apa dan akhirnya hp mati saking nge lag ada suara gambar ga muncul dan hpku ga bisa dipencet udah langganan lama lho ini kenapa sangat buruk sekali?? 😡😡,Negatif
"Aplikasi nya bagus, cuma kuata nya boros, tolong dong min iritkan pemakyan data nya,kalau pemakaian data nya irit saya kasi bintang 5 janji",Negatif
❤️❤️❤️❤️❤️❤️❤️❤️,Positif
"gw udh berlangganan,ketika saya mau nntn persib ,tbtb indosiar ga ada channel nya,eh sekarang RCTI tbtb ga ada pula aneh",Negatif
Mantap,Positif
Kecewa..,Negatif
"APLIKASI VIDEO MEMANK MANTAPZ GUEESSS,,,,,",Positif
"Sedot terus tuh duit, udh film2 jadul semua, shoppe gua kepotong terus kurang ajar",Negatif
Tidak bisa di download secara gratis,Negatif
kenapa saat mau nonton film di layar full malah kepotong anjir,Negatif
"Udh berlangganan, malah error. Penanganan error nya lama. Payah. Kalau begini harusnya ada kompensasi kepada Customer/Pelanggan. Jika tdk, maka after sales nya tdk bagus.",Negatif
Sudah bayar berlangganan tapi TDK bisa nonton,Negatif
Akun Di Hapus,Negatif
"Apk jelek , GK lengkap , udah ku tulis judul flem nya tapi ngk di temukan . Next uinstal",Negatif
Kenapa aplikasi vidio sekarang malah bobrok ya padahal berlanganan tapi buat nonton movies patah patah dan harus di ulang lagi baru bisa tolong dong aplikasi di perbaiki jangan perbayar tapi aplikasi nya parah banget,Negatif
Lelet aplikasinya,Negatif
"udah setting video quality high tapi masih burik aneh,patah² mulu lagi",Negatif
"Menyesal sudah berlangganan,iklan masih muncul dan video siaran langsung tidak bisa di putar, aplikasi kocak",Negatif
Kebanyakan harus bayar dulu bisa nontonnya,Negatif
"Padahal saldo dana saya otomatis terpotong,tapi kenapa paketnya gak bisa kan aneh",Negatif
"Kecewa, , sangat sangat sangat kecewa vidio yg di indihome, tidak bisa nonton lengkap liga champions. Liverpol vs Madrid tidak ada. Padahal langganan paketnya diamond.. 👎👎👎",Negatif
Sorry rate1 soalnya di awal iklan terus lama ilkan nya terus pas mau di barengin sama tv malah gk bisa karena loading mulu padahal sinyal lancar😠😠😠😠😠😠,Negatif
Videonya nggak bisa di putar padahal udah berlangganan,Negatif
Saya kasih bintang 5,Positif
"Sering buffer, minta solusi CS juga cuma jawaban template. Kalau saja ada aplikasi resmi untuk bisa nonton Serie A pasti sudah lama kutinggal",Negatif
"Segini Gua udah beli paket premium, tetep we masih ada iklan nya wae, mikir dong pelayanan tuh nomor satu pea",Negatif
Uda langganan tapi ko pas mau buka video ngga bisa padahal udah bayar 1 bulan Klo buka video ngga bisa langsung kembali ke beranda sendiri,Negatif
"apk nya ngebug, waktu diputar vidionya kadang lancar kadang stuck, tolong update nya yg lebih baiknya",Negatif
Sering loading padahal apk lain lancar. Selalu ada tulisan gangguan jaringan. Kalo diulang subtitle ngga langsung nongol. Dan kurang suka dengan konten: reedem arcade,Negatif
Untuk penggunaan vocer ovo tidak bisa di pakai kenapa ya,Negatif
Aplikasi ini sangat membantu untuk akses chanel Tv dan media lain,Positif
Bagus. Terima kasih,Positif
Kenapa serial bollywod nya di hapus yah,Negatif
Ok bagus,Positif
Di tv bisa gak ada iklan tapi di hp masih ada iklan gimana sihh bingung jadi nyaa satu lagiii kenapaa primerr apa itu lupaa ada waktu nyaa lagi nonton asik asik tiba tiba malah ada iklan dan primer nya ihh perbaiki gak minn!! Gak suka bangett😤 juga udah berlangganan masih ada iklan setiap kali mau nonton ada aja kendala😤😤😤 pikirr dulu kalok mau buatt bukan malah langsung rilis😡,Negatif
"di tahun 2023 pakai paket platinum 1 buad nonton BRI liga 1 lancar jaya tapi sekarang percumah sudah berlanggan platinum 1 tahun, TAPI NGGAK BISA DIPAKAI jangankan buad nonton Liga 1, buka aja NGGAK BISA intiNya KECEWA",Negatif
Bagus dah ah,Positif
sering eror,Negatif
"Ok,untuk mengedit secara cepat foto atau video sederhana.",Positif
Udah langganan platinum dari beberapa tahun lalu. Tapi kenapa skr malah disuruh beli paket express lagi. Kenapa ga satu paket saja seperti platinum atau premiere. Kalau misalnya kaya gini mending ga usah platinum2an. Tahun depan langganan berakhir saya sudah setting ga diperpanjang,Negatif
Ini isinya iklan aja ya? Nyari movie adanya trailer,Negatif
Mantap,Positif
Saya sudah main tebak-tebakan sebagai free download aplikasi yang sudah memainkan gamenya tapi saya mainkan pakai kali tidak dapat-dapat saya kasih rating bintang 1 Saya tidak apa-apa Tolong jelaskan aplikasi sebagai orang yang mendownload aplikasi tiketnya terima kasih,Negatif
Udah dua hari nge download vidio tapi tidak bisa di putar waktu offline Kenapa yahhh....ada yang sama juga gak,Negatif
"Aplikasi goblog. Saya mau beli paket yang 79 ribu, dan pulsa saya ada 101.000 ribu. Malah gak berhasil terus pembayaran nya, padahal sudah saya hitung dengan pajak.",Negatif
Rugiii download video,Negatif
Pantas saja ratingnya jelek,Negatif
Jir apk apaan sih tolong dong bug nya dihilangain ketika saya nonton terkadang vidio nya suka patah patah padahal jaringan saya bagus 🤦,Negatif
aplikasi ya bagus pilim ya seru seru merasakan aku di bioskop 👍👍ini aplikasi yang sangat bangun ga ada iklan 1 pun keren aku kasi bintang seribu⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐😎aplikasi keren ⭐⭐⭐⭐⭐⭐⭐🌟⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐🌟🌟🌟🌟⭐⭐⭐🌟⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐🌟⭐🌟🌟⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐saya dapat uang senilai 1.0000000,Positif
"Dulu bisa nonton film india, kok skrg ngga ada ya film indianya",Negatif
Kenapa layar beku?,Negatif
Aplikasi video lemmot parah,Negatif
"Sangat bagus, kualitas hd, terima kasih buat semuanya.",Positif
Okei,Positif
Sudah lanjutkan langganan lewat google play store tpi di aplikasi minta oaket lagu,Negatif
"nonton film kok macet², padahal sinyal udah bagus, kalau ga gitu ya gambarnya berhenti padahal audio jalan, bayar mahal² kualitas kek gini",Negatif
"Apus aja masa ngga bisa bayar pake dana,gw udah bayar masa di suruh bayar lagi pas di eps lima ngga jelas ni apk hu jelek bgt",Negatif
"Terima ksh, bisa nonton tv di Hp",Positif
Baru aja download semoga apk ini bagus,Positif
"Aplikasi g guna, langganan 300ribu/tahun. Sdh premium tp ntn highlight liga 1 g bs. Yaudah terpaksa berhenti langganan walau mahcada 5 bulan. G worted. Lbh baik langganan netflix aja, yg sdh all in",Negatif
"masih banyak apk yg lebih baik dri ini, gile iklannya tiap brapa menit coy wkwkwk",Negatif
apk tololll bisa 2hari berturut-turut saldo kepotong buat bayar ulang kocakkkkk,Negatif
"Terlalu sering berhenti tiba"" dan ada tuntunan masuk ke akunmu. Giliran coba masuk ke akun ternyata tidak bisa, payah bikin emosi.",Negatif
Kenapa semua bayar nonton sinetron padahal,Negatif
"Iklan teros tol Baru 5 detik mulai, iklan lagi Ntah apalah aplikasi ini, tk jls tol",Negatif
Tai nge lag bgt,Negatif
"Mau langganan bayar pake Indosat gak bisa bisa padahal biasanya bisa, pulsa gk cukup terus keteranganya udah di email di kasih arahan tetap aja gak bisa, kok hancur gini aplikasinya padahal mau langganan lo hadeh.",Negatif
Mantap & keren2,Positif
masa berlangganan lewat pulsa gabisa padahal pulsanya udah cukup,Negatif
"gue rasa nya pngen deh ngomong kata² kasar tp tkt kena baned saking kesel nya ama nih aplikasi, eh vidio jgn buat gua nyesel dah karna uda download nih aplikasi, bner² bikin gua kesel setiap nonton, iklan mulu anjj, gaada yg bnerr mana putus² mulu lg jd ga konsen gara² eror ama kebanyakan iklan tolong ye di bnerin lg nih.",Negatif
Kok nyedot Mulu ya orang udah ga pake lawak,Negatif
Tolong jangan semua FTV di kasih langganan cuma persulit yg gatau apa2,Negatif
"Tolong adakan fitur hapus riwayat tontonan, malu pas dipinjem keluarga kalo diliat riwayat tontonan saya.",Negatif
"Buat tayangan udh bagus banget udh full hd banget ,fitur yang lain juga bagus cuma agak sedikit kecewa seharus nya pihak vidio harus lengkapin lagi di Chanel televesi nasional masih kurang lengkap, untuk penanyangan sport juga belum lengkap di liga nya ada beberapa liga yang belum ada, thank's",Negatif
"Sepengalaman berlangganan di apk lain ketika mulai menonton apapun kalau sudah berlangganan ga akan muncul iklan sama sekali hanya di apk ini kynya sudah berlangganan tp ttp muncul iklan di awal,apa ada yg sama ? Apa cmn saya ya ?",Negatif
Bagus,Positif
"udah langganan paket yang ada liga belanda nya eh gabisa ditonton, malah diarahin nnton serie a, aplikasi nipu!!!",Negatif
Kemahalan,Negatif
Kuuuaammpprrooeet.. jd banyak berbayar... Katanya gratis..,Negatif
"Sangat jelek, berlangganan pun masih ada iklan. Menang mahal doang. Sangat tidak rekomendasi",Negatif
Knp tidak bsa berlangganan error trus,Negatif
APALAH UDAHH BAYARR MALAH GABISA NONTON DI TV,Negatif
bwosok tiwas wes langganan,Negatif
"Muter2 gak jelass, mahal doang mending bajakan",Negatif
"Makin ksini aplikasi nya makin banyak iklan mana gambar nya putus², kurangin dong iklan nya.",Negatif
"Gak jelas nih apk padahal sinyal bagus bukak apk lain lancar, Eh buka nih apk luemot muter muter terus Gajelas",Negatif
"sudah berlangganan 2x melalui apk XL masih belum juga bisa digunakan , sudah buat laporan via Gmail masih juga belum ditanggapi .. payah sekali",Negatif
Keren,Positif
sumpah lengkap banget lebih bagus dari pada tv tapi sayang nya kecil,Negatif
premium kok masih ada iklan?,Negatif
Fast respon saat ada kendala,Positif
Keran pkoknya,Positif
Bagus banget tapi kurangin iklannya,Negatif
"iklannya banyak bgt astaghfirullah, mau catch-up acara setiap skip iklan 60 detik lalu berhenti 20 detik iklan lagi 30 detik, menjijikan",Negatif
bagus,Positif
Ok mantap,Positif
Kecewa !! Setelah saya lakukan pembayaran untuk berlangganan tapi video yg mau saya tonton susah d buka ..,Negatif
Aku harap puas hati setelah mendownload ny,Positif
Sangat membantu tanks,Positif
sangat puas,Positif
Keren,Positif
"Platformnya mudah diadaptasi. Kualitas Video Sudah Bagus. Kestabilan Streaming memang bergantung koneksi, namun jika dibandingkan channwl lain, Vidio masih banyak buffer di beberapa bagian video. Paket berlangganan juga kompetitif harganya. Tetap dipertahankan, minta tolong versi mobile supaya disediakan mode view live photo thuhmbnail.",Negatif
"luar biasa buat vidio, sempat ada masalah karena pembelian masuk ke akun lain, dapat dibantu menyelesaikan. terbaik pokoknya. customer Service nya cepat tanggap.sukses terus buat video.",Positif
Keren,Positif
Bagus,Positif
Kebanyakan iklan,Negatif
atasi gangguan bug server Vidio Paket saya jadi tidak bisa di pake nunggu jam 1 malam,Negatif
"Masa iya beli paket add on serie a 49rb exc ppn tp klu mau nonton serie a harus beli paket basic lain dulu.. kenapa nggak digabungkan saja thu paket ke paket lain? Klu paket add on free sih gpp ya, klu mau fair gabungan aja paket serie a dengan paket lain jgn dibuat pisah.. jd klu ada orang yg hanya mau nonton serie a saja tidak salah beli paket",Negatif
Gw udah berlangganan kok gk bisa nonton baru 2 menit beli paket kocak paket bualnann gk bisa muter video,Negatif
"bagus kok untuk kualitas videonya dan fiturnya cuma tolong dong update terus filmnya apalagi Transformers ada 2 film yang kurang, udah berlangganan tapi kurang memuaskan untuk film yang kita cari tapi selebihnya selalu lancar dan mantap, tolong banget ini mah yak",Negatif
Tidak bisa dihapus history tontonannya,Negatif
"Hi vidio, nanya donk. Sy ada saldo utk langganan EPL di akun google ini, tapi sy langganan sebelumnya di akun sy yg selain ini. Sy sdh buat akun baru dgn yg ini, tapi saat billing kok ke google sy yg satu lagi ya. Jadi akun nya sudah yg ini pas mau bayar ke yg sebelumnya. Kok akun yg terlogin dan walletnya crossing? Pedahal sy sudah siapkan saldo di akun yg ini. Sudah sy uninstall dan instal ulang, masih saja. Bisa bantu?? Terimakasih",Negatif
"..... 23 Nov,status paket masih aktiv,tapi gak bisa nonton Serie-A",Negatif
BERLANGGANAN SERI A MAU NONTON MALAH GA BISA MUNCUL. PADAHAL BERLANGGANAN BUAT YANG LAINNYA JUGA GA CUMA SATU. TAEEE LAH,Negatif
"Beli paket platimum + premier league, saldo udah kepotong, paket ngga aktif",Negatif
Kenapa buka aplikasinya di tv android macet² ya? Di ubah ke resolusi paling kecil juga masih macet. Padahal jaringan wifi lancar. Gak kayak aplikasi sebelah lancar jaya pas di tonton,Negatif
vidio top. bisa nonton buat me time dimana aja,Positif
Udh berlangganan masa ngelag videonya bukan karna faktor jaringan...kecewa,Negatif
Bagus bisa lihat persik kediri,Positif
BAYARNYA PAKAI DANA KO TIDAK BISA YA.TOLONG DIPERBAIKI YA,Negatif
Karna bagus banget,Positif
uda langganan pun muncul iklan mendudaaa trus ganggu,Negatif
Bagus banget,Positif
Sangat bagus dan menikmati,Positif
"Suka buffering gajelas, bobrok banget aplikasinya",Negatif
Apa Sebenarnya Yang Tidak Pernah Tahu Apa Sebenarnya Yang Tidak lakukan ini,Positif
"Tolong pada pihak developer aplikasi nya jangan boros"" kuota dong dan klo bisa adain fitur untuk setiap mau nonton bisa memilih kualitas video nya agar tidak boros kuota saya mohon kepada developer",Negatif
"Terlalu sering muncul penawaran paket,,padahal udah berlangganan tapi masih muncul pilihan paket. SANGAT MENGGANGGU KENYAMANAN",Negatif
"Bayar tapi lag trus, paraaah kalian...",Negatif
Awal awal enak nongton suka banget tpi Kenapa sekarang channelnya harus berbayar,Negatif
"kebanyakan iklan, menurut ku kalau 1 video 1 iklan sih gapapa ini mah 1 video lebih dari 5 iklan",Negatif
🚑🚑🚑🚑💨 🚑💨💨💨💨 🚑🚑🚑🚑💨 🚑💨💨💨💨 🚑💨💨💨💨,Positif
"Ini gimana ya, udah ikut paket langganan masa malah ada iklan nya?!! Trus gunanya langganan apa?!!",Negatif
Aplikasinya gangguan mulu iklannya juga banyak 👎,Negatif
"Saya mau berlangganan saja susah amat,baru pertama kali ini, mau bayar verifikasi sandi salah terus gimana si apa gak bisa pake no. Tlp atau sidik jari",Negatif
tidak puas,Negatif
Leg Mulu,Negatif
Baru kali ini nonton film suara nya doang film nya diem ke patung.,Negatif
"Kenapa sih vidio sekarang ko setiap liat live streaming BRI liga 1 paa tengah2 muter2 terus,padahal paketnya setiap bulan bayar looo",Negatif
Bagus lah buat diluar biar ga ketinggalan bola,Positif
Barusan bayar malah ga bisa nonton liga 1 😩,Negatif
aplikasi sampah gak bisa liat live,Negatif
✌💖💖💖,Positif
Buat apa beli paket langganan kalau ada iklan,Negatif
jaringan jelek,Negatif
Sinyal aman cma video doang masalah jaringan kocak.,Negatif
Gabisa nyambung kenapa ya bisa bantu,Negatif
udah di daftar rin tetap aja ga bisa nonton malah diem kaya foto vidio nya ga gerak sinyal bagus daftar udah,Negatif
Enak si enak aplikasinya . Tapi kenapa lihat bolanya harus di anjurkan bayar,Negatif
"Realtime waktu gap 40 detik, tolong vidio. Untuk masalah realtime di benahi, setidaknya maksimal 20 detik",Negatif
"Sudah berlangganan paket lewat telkomsel tapi di aplikasi vidio nya ga ada berlangganan aneh sekali ,merugikan",Negatif
Film doraemonnya gak lengkap,Negatif
👎👎👎,Negatif
"parah gabisa dihubungkan ke TV, berlangganan elit, fasilitas sulit koplak",Negatif
Kenapaa sekarang sering error ya? Mau nonton liga 1 sama series terbaru gak bisa d play. Padahal udh langganan yg premium,Negatif
sangat bagus tapi terlalu banyak iklan,Negatif
Bagus banget di pake buat nonton Megic 5 season 3,Positif
udah beli paket ko gak masuk gimana sih bukannaya nyari solusi malah berbelit beli 😡😡😡😡😡😡😡😡😡😡,Negatif
baguss tpi banyak yg tidak gratis,Negatif
"Kenapa gak bisa ditonton satu pun film, padahal saya sudah berlangganan",Negatif
"Sendat sendat parah , sudah langganan juga",Negatif
"Tidak bisa berlangganan, padahal pulsa lebih dari cukup",Negatif
"Audio masih jalan tp gambar ga bergerak mengganggu pengalaman nonton. Subtitles kadang juga suka ilang, dan juga kenapa nonton express bayar per episode padahl udah beli paket harus beli expres lg per minggu kah?",Negatif
Aplikasi seru sekali Film apa aja ad tapi knp sy kasi bintang 4 karena terlalu banyak iklan.,Negatif
Bagus tolong tambahkan film anak jalanan,Positif
Yuyu,Positif
Maaf sebelum Nya kenapa kouta patinium saya ga bisa ya buat nonton malah ada tulisan melebihi batas truss kenapa itu?,Negatif
Kualitas semakin buruk. Videonya sering patah2. Sudah langganan tapi minta langganan lagi. Heran..,Negatif
"makin kesini makin banyak bug dan masalah, costumer service tidak pernah menyelesaikan masalah hanya menambah masalah yang ada, tidak ada niat membantu costumer yang mengalami kendala, banyak bug dan crash yang terjadi selama tontonan berlangsung, sudah berlangganan dan paket aktif, malah disuruh bayar bulanan lagi padahal paket masih aktif",Negatif
