Rating,Ulasan,Sentimen,Tanggal
5,Aplikasinya mantap,Positif,11/30/2024 11:19
1,"Saya udah langganan platinum kenapa ga bisa nonton, selalu tampilan layar nya ada gangguan terus, balikin gopay saya woi...buat apa kalau gak bisa nonton film inceran saya. Mending netflix.",Negatif,11/30/2024 11:17
1,Paket 1 thn hangus baru 1 bulan tanpa ada keringanan,Negatif,11/30/2024 11:10
1,"hahaha apk jelek, videonya ngelag"" dan putus"", kadang suka berhenti sendiri, jujur itu menggangu kenyamanan menonton bgt, nnton disini jd ga ada nyaman"" nya dgn kualitas video sprti itu",Negatif,11/30/2024 11:09
1,Iklan nya kurang banyak,Negatif,11/30/2024 10:44
5,Sangat bagus,Positif,11/30/2024 10:42
2,Gak bisa berlangganan pulsa anda tidak mencukupi padahal pulsa sudah mencukupi,Negatif,11/30/2024 10:31
5,Download cuma mau liat byon 4 indo vs malaysia,Positif,11/30/2024 10:25
2,Cara beli paketan nya,Negatif,11/30/2024 10:18
1,TIDAK BERLANGGANAN MALAH TETAP DI POTONG,Negatif,11/30/2024 10:00
1,Sudah beli kok ngk bsa login sih,Negatif,11/30/2024 9:55
2,Gamau duit apa gmana ? niatnya berlangganan kode verifikasi udh dimasukin tpi gabisa masuk wkwkwk,Negatif,11/30/2024 9:24
1,mau beli paket platinum by pulsa atau dana tapi pembayaran tidak berhasil terusss...... Why?,Negatif,11/30/2024 9:03
5,Bagus,Positif,11/30/2024 7:52
5,Mudah di gunakan dan sanggat menghibur,Positif,11/30/2024 6:50
5,"Hari Tanggal:Rabu,01Januari 2025 Tahun Baru 2025 Masehi",Positif,11/30/2024 6:26
2,Harga sekarang terlalu mahal untuk langganan liga inggris,Negatif,11/30/2024 6:21
3,Sulit ribet,Negatif,11/30/2024 5:33
5,apk nya bguss bgttttt,Positif,11/30/2024 3:44
5,Luarbiasa,Positif,11/30/2024 2:36
3,Kok di tolak terus si berlangganan bayar pakai gopay????,Negatif,11/30/2024 2:28
1,Kenapa setiap mau beli berlangganan byon hari ini selalu server eror ada masalah apa ini,Negatif,11/30/2024 2:19
5,Bagus dan MantuL,Positif,11/30/2024 0:16
1,"Mendingan ini aplikasi gua hps, banyak bgt pembayaran! Mending g ush pake bayar2 deh, habisin uang aj aplikasi 1 ini... Yatim",Negatif,11/29/2024 23:36
4,kasih 4 dulu sementara,Positif,11/29/2024 22:16
5,Mantap,Positif,11/29/2024 21:37
2,Bagus tapi tolong hapus iklannya kalau pas ada iklan gak bisa deliwati benar benar anj,Negatif,11/29/2024 18:43
1,"Aplikasi ga bermutu,udah berlangganan perbulan ,tapi setiap nonton bayar lagi 8 ribu , setiap eps bayar lagi ,aplikasi penipu,rugi deh buat kelen yg download apk ini",Negatif,11/29/2024 15:51
5,"Saya kasih bintang 5, karna pelayanan vidio kepada costumer sangat baik",Positif,11/29/2024 15:40
2,Gak Semu bisa ditonton perbaiki lgi aplikasi ini untuk lbih baik,Negatif,11/29/2024 15:26
4,"video sering macet dan cuma berjalan audio nya aja, tolong banget di fix, padahal film dah premium dan saya nonton yg ekspresi. terimakasih 🙏",Negatif,11/29/2024 15:11
5,Hidup byon,Positif,11/29/2024 14:44
1,"Udah langganan pdahal,nontonnya susah lag Mulu patahpatah",Negatif,11/29/2024 13:05
5,Vidio no 1,Positif,11/29/2024 12:52
5,Bagus rasa cinta dan kasih sayang film semua orang yang ikut banyak kerapa 5000000000000 ya,Positif,11/29/2024 12:15
1,Bayar potong otomatis,Negatif,11/29/2024 12:13
1,"Setelah download terlalu menyesal dalam 1 film iklan terlalu banyak dan sangat menganggu, untuk free ga menarik juga, udh di uninstal.kak , karena banyak ulasan berlangganan pun kena iklan wkwkkw aneh",Negatif,11/29/2024 12:13
1,"Aplikasi kang maling, Udah berhenti berlangganan masih aja dipotong saldo",Negatif,11/29/2024 11:36
1,"Kenapa siaran net gak bisa di ulang yang kelewatan contoh Shinbi house detective conan masak gaes dan lainnya, siaran lain bisa diputar ulang yang kelewatan tapi kenapa cuma siaran net doang gak bisa diputar yang kelewatan tolong kenapa harus diperbaiki kah itu",Negatif,11/29/2024 11:27
5,"Aplikasi ini sangat bagus, tapi kalau nonton alur film selengkapnya hrs beli paket😕",Negatif,11/29/2024 11:20
1,"videonya patah patah macet,padahal audionya lancar",Negatif,11/29/2024 11:03
5,PLISS AK SUKAA BGT BNYA GRATISAN NYAWW💋💋,Positif,11/29/2024 10:57
5,Good,Positif,11/29/2024 8:06
1,"Ngeleg banget, walaupun udah berlangganan.",Negatif,11/29/2024 8:00
3,NET gak bisa,Negatif,11/29/2024 7:48
3,"tolong dong perbaiki rotasi di tablet. mau nonton gak auto rotare, harus tap full screen dulu dalam mode potrait baru bisa mode landscape. dan tolong untuk skip video gak perlu dim pencahayaannya. kadang suka susah nyari scene film kalo skipnya dalam keadaan cahaya redup, thanks",Negatif,11/29/2024 7:31
1,Tak sesuai expktasi. Kayak apk pembohong,Negatif,11/29/2024 6:24
2,Maksa banget disuruh nonton zona merah,Negatif,11/29/2024 6:08
3,"kenapa ya liat video , suaranya mutar ،trus videonya gak jalan , tolong di perbaiki ya.",Negatif,11/29/2024 5:33
1,Saya kan udah ganti paket . Kok bisa bisanya masih ngambil dana saya . Jadi berlangganan double .,Negatif,11/29/2024 5:32
2,banyak sekali iklannya jadi ga fokus kalo nonton ke ganggu iklan.,Negatif,11/29/2024 4:56
5,"Seru, asyik semoga bisa menyenangkan",Positif,11/29/2024 4:54
3,bagus sih aplikasi nya cuma yaitu iklan nya ganggu banget kadang sampe 1 menit iklan nya bisa gak sih di blokir aja lagi asik2 nonton mala iklan dikit2 iklan,Negatif,11/29/2024 4:36
5,Sangat menarik dan saya suka banget dengan vidio ini,Positif,11/29/2024 4:17
2,"Tolong selalu update Film nya, Masak Film Mumun gak ada",Negatif,11/29/2024 3:01
2,"Udah ada paket langganan, tiba-tiba pas lagi nonton d suruh isi lagi, dah d uninstall baru bisa lagi, aplikasi nya bermasalah mohon d perbaiki, nanti eror harus install ulang lagi, terus-terusan mah repot",Negatif,11/29/2024 2:51
1,"Udah beli pAket sebulan,, Cuman seminggu paket da kadaluarsa disuruh beli lagi, pemerasan betul nih aplikasi 😈😈😈",Negatif,11/29/2024 1:37
1,"Aplikasi gak siap, kalau udah banyak yang make malah ngebag tolol",Negatif,11/29/2024 1:06
1,Aplikasi gak jelas udah langganan masih aja gabisa nonton!!!!!!!!!,Negatif,11/29/2024 1:04
1,Sudah berlangganan dan hanya 1 perangkat. Tapi dibilang tidak berlangganan dan tidak bisa nonton. Kadang nonton ad perangkat lain. Pdhal 1 perangkat,Negatif,11/29/2024 0:51
5,Bingung.. Cara ngerubah teks layar filmx kayak gimna biar bisa jadi bahasa Indonesia dan ga bahasa inggris .,Negatif,11/28/2024 23:32
1,Biar bintang yng menilai,Negatif,11/28/2024 23:24
4,bagus aja si,Positif,11/28/2024 23:00
5,Luar biasa,Positif,11/28/2024 22:19
5,Keren sihh bisa nonton TV online di aplikasi ini👍 Nice!!!,Positif,11/28/2024 21:07
1,"Apk gk jelas banyak kali iklan nya, dah lah sering kali muncul iklanya dah gitu 1 menit per iklan dan iklanyapun ada 2,baru 5 mnt nonton dah iklan lagi bosen lihat iklan terus.",Negatif,11/28/2024 21:00
1,"Apaan dah VIP nya otomatis kebeli sendiri lagi, alhasil saya baru to up dana ke potong lgi hadehhhh",Negatif,11/28/2024 16:08
1,"Buruk sekali dari sebelumnya, paket di hp dan dtv dibedakan",Negatif,11/28/2024 15:50
1,Kirain sdh bnr Ternyata ttp aja motongin duit di dana ga transaksi g apa pun,Negatif,11/28/2024 15:24
1,Apa apa ini aplikasi udah 3hari saya setiap nonton series original vidio hp langsung ga bisa dipencet apa apa dan akhirnya hp mati saking nge lag ada suara gambar ga muncul dan hpku ga bisa dipencet udah langganan lama lho ini kenapa sangat buruk sekali?? 😡😡,Negatif,11/28/2024 15:19
4,"Aplikasi nya bagus, cuma kuata nya boros, tolong dong min iritkan pemakyan data nya,kalau pemakaian data nya irit saya kasi bintang 5 janji",Negatif,11/28/2024 15:15
4,❤️❤️❤️❤️❤️❤️❤️❤️,Positif,11/28/2024 14:09
1,"gw udh berlangganan,ketika saya mau nntn persib ,tbtb indosiar ga ada channel nya,eh sekarang RCTI tbtb ga ada pula aneh",Negatif,11/28/2024 13:51
5,Mantap,Positif,11/28/2024 10:33
1,Kecewa..,Negatif,11/28/2024 7:58
5,"APLIKASI VIDEO MEMANK MANTAPZ GUEESSS,,,,,",Positif,11/28/2024 7:26
1,"Sedot terus tuh duit, udh film2 jadul semua, shoppe gua kepotong terus kurang ajar",Negatif,11/28/2024 4:48
2,Tidak bisa di download secara gratis,Negatif,11/28/2024 3:32
1,kenapa saat mau nonton film di layar full malah kepotong anjir,Negatif,11/28/2024 1:43
1,"Udh berlangganan, malah error. Penanganan error nya lama. Payah. Kalau begini harusnya ada kompensasi kepada Customer/Pelanggan. Jika tdk, maka after sales nya tdk bagus.",Negatif,11/28/2024 1:42
1,Sudah bayar berlangganan tapi TDK bisa nonton,Negatif,11/28/2024 1:38
5,Akun Di Hapus,Negatif,11/28/2024 0:30
1,"Apk jelek , GK lengkap , udah ku tulis judul flem nya tapi ngk di temukan . Next uinstal",Negatif,11/27/2024 23:55
1,Kenapa aplikasi vidio sekarang malah bobrok ya padahal berlanganan tapi buat nonton movies patah patah dan harus di ulang lagi baru bisa tolong dong aplikasi di perbaiki jangan perbayar tapi aplikasi nya parah banget,Negatif,11/27/2024 22:08
1,Lelet aplikasinya,Negatif,11/27/2024 21:45
1,"udah setting video quality high tapi masih burik aneh,patah² mulu lagi",Negatif,11/27/2024 21:41
1,"Menyesal sudah berlangganan,iklan masih muncul dan video siaran langsung tidak bisa di putar, aplikasi kocak",Negatif,11/27/2024 20:55
3,Kebanyakan harus bayar dulu bisa nontonnya,Negatif,11/27/2024 20:15
1,"Padahal saldo dana saya otomatis terpotong,tapi kenapa paketnya gak bisa kan aneh",Negatif,11/27/2024 19:55
1,"Kecewa, , sangat sangat sangat kecewa vidio yg di indihome, tidak bisa nonton lengkap liga champions. Liverpol vs Madrid tidak ada. Padahal langganan paketnya diamond.. 👎👎👎",Negatif,11/27/2024 19:47
1,Sorry rate1 soalnya di awal iklan terus lama ilkan nya terus pas mau di barengin sama tv malah gk bisa karena loading mulu padahal sinyal lancar😠😠😠😠😠😠,Negatif,11/27/2024 17:59
1,Videonya nggak bisa di putar padahal udah berlangganan,Negatif,11/27/2024 15:55
5,Saya kasih bintang 5,Positif,11/27/2024 15:49
2,"Sering buffer, minta solusi CS juga cuma jawaban template. Kalau saja ada aplikasi resmi untuk bisa nonton Serie A pasti sudah lama kutinggal",Negatif,11/27/2024 15:11
1,"Segini Gua udah beli paket premium, tetep we masih ada iklan nya wae, mikir dong pelayanan tuh nomor satu pea",Negatif,11/27/2024 13:08
2,Uda langganan tapi ko pas mau buka video ngga bisa padahal udah bayar 1 bulan Klo buka video ngga bisa langsung kembali ke beranda sendiri,Negatif,11/27/2024 11:03
3,"apk nya ngebug, waktu diputar vidionya kadang lancar kadang stuck, tolong update nya yg lebih baiknya",Negatif,11/27/2024 10:40
2,Sering loading padahal apk lain lancar. Selalu ada tulisan gangguan jaringan. Kalo diulang subtitle ngga langsung nongol. Dan kurang suka dengan konten: reedem arcade,Negatif,11/27/2024 9:30
4,Untuk penggunaan vocer ovo tidak bisa di pakai kenapa ya,Negatif,11/27/2024 9:05
5,Aplikasi ini sangat membantu untuk akses chanel Tv dan media lain,Positif,11/27/2024 8:29
5,Bagus. Terima kasih,Positif,11/27/2024 8:02
1,Kenapa serial bollywod nya di hapus yah,Negatif,11/27/2024 7:53
5,Ok bagus,Positif,11/27/2024 7:39
1,Di tv bisa gak ada iklan tapi di hp masih ada iklan gimana sihh bingung jadi nyaa satu lagiii kenapaa primerr apa itu lupaa ada waktu nyaa lagi nonton asik asik tiba tiba malah ada iklan dan primer nya ihh perbaiki gak minn!! Gak suka bangett😤 juga udah berlangganan masih ada iklan setiap kali mau nonton ada aja kendala😤😤😤 pikirr dulu kalok mau buatt bukan malah langsung rilis😡,Negatif,11/27/2024 6:47
1,"di tahun 2023 pakai paket platinum 1 buad nonton BRI liga 1 lancar jaya tapi sekarang percumah sudah berlanggan platinum 1 tahun, TAPI NGGAK BISA DIPAKAI jangankan buad nonton Liga 1, buka aja NGGAK BISA intiNya KECEWA",Negatif,11/27/2024 5:53
5,Bagus dah ah,Positif,11/27/2024 3:56
1,sering eror,Negatif,11/27/2024 3:46
4,"Ok,untuk mengedit secara cepat foto atau video sederhana.",Positif,11/27/2024 2:09
1,Udah langganan platinum dari beberapa tahun lalu. Tapi kenapa skr malah disuruh beli paket express lagi. Kenapa ga satu paket saja seperti platinum atau premiere. Kalau misalnya kaya gini mending ga usah platinum2an. Tahun depan langganan berakhir saya sudah setting ga diperpanjang,Negatif,11/27/2024 0:57
2,Ini isinya iklan aja ya? Nyari movie adanya trailer,Negatif,11/26/2024 19:45
5,Mantap,Positif,11/26/2024 16:00
1,Saya sudah main tebak-tebakan sebagai free download aplikasi yang sudah memainkan gamenya tapi saya mainkan pakai kali tidak dapat-dapat saya kasih rating bintang 1 Saya tidak apa-apa Tolong jelaskan aplikasi sebagai orang yang mendownload aplikasi tiketnya terima kasih,Negatif,11/26/2024 15:35
4,Udah dua hari nge download vidio tapi tidak bisa di putar waktu offline Kenapa yahhh....ada yang sama juga gak,Negatif,11/26/2024 15:00
1,"Aplikasi goblog. Saya mau beli paket yang 79 ribu, dan pulsa saya ada 101.000 ribu. Malah gak berhasil terus pembayaran nya, padahal sudah saya hitung dengan pajak.",Negatif,11/26/2024 14:43
1,Rugiii download video,Negatif,11/26/2024 13:38
1,Pantas saja ratingnya jelek,Negatif,11/26/2024 12:52
1,Jir apk apaan sih tolong dong bug nya dihilangain ketika saya nonton terkadang vidio nya suka patah patah padahal jaringan saya bagus 🤦,Negatif,11/26/2024 9:02
5,aplikasi ya bagus pilim ya seru seru merasakan aku di bioskop 👍👍ini aplikasi yang sangat bangun ga ada iklan 1 pun keren aku kasi bintang seribu⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐😎aplikasi keren ⭐⭐⭐⭐⭐⭐⭐🌟⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐🌟🌟🌟🌟⭐⭐⭐🌟⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐🌟⭐🌟🌟⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐saya dapat uang senilai 1.0000000,Positif,11/26/2024 7:21
3,"Dulu bisa nonton film india, kok skrg ngga ada ya film indianya",Negatif,11/26/2024 6:42
1,Kenapa layar beku?,Negatif,11/26/2024 6:23
3,Aplikasi video lemmot parah,Negatif,11/26/2024 5:20
5,"Sangat bagus, kualitas hd, terima kasih buat semuanya.",Positif,11/26/2024 5:14
1,Okei,Positif,11/26/2024 3:35
4,Sudah lanjutkan langganan lewat google play store tpi di aplikasi minta oaket lagu,Negatif,11/26/2024 3:26
1,"nonton film kok macet², padahal sinyal udah bagus, kalau ga gitu ya gambarnya berhenti padahal audio jalan, bayar mahal² kualitas kek gini",Negatif,11/26/2024 2:05
1,"Apus aja masa ngga bisa bayar pake dana,gw udah bayar masa di suruh bayar lagi pas di eps lima ngga jelas ni apk hu jelek bgt",Negatif,11/25/2024 21:14
3,"Terima ksh, bisa nonton tv di Hp",Positif,11/25/2024 19:05
5,Baru aja download semoga apk ini bagus,Positif,11/25/2024 18:18
1,"Aplikasi g guna, langganan 300ribu/tahun. Sdh premium tp ntn highlight liga 1 g bs. Yaudah terpaksa berhenti langganan walau mahcada 5 bulan. G worted. Lbh baik langganan netflix aja, yg sdh all in",Negatif,11/25/2024 16:57
1,"masih banyak apk yg lebih baik dri ini, gile iklannya tiap brapa menit coy wkwkwk",Negatif,11/25/2024 15:38
1,apk tololll bisa 2hari berturut-turut saldo kepotong buat bayar ulang kocakkkkk,Negatif,11/25/2024 14:29
2,"Terlalu sering berhenti tiba"" dan ada tuntunan masuk ke akunmu. Giliran coba masuk ke akun ternyata tidak bisa, payah bikin emosi.",Negatif,11/25/2024 11:11
1,Kenapa semua bayar nonton sinetron padahal,Negatif,11/25/2024 10:39
1,"Iklan teros tol Baru 5 detik mulai, iklan lagi Ntah apalah aplikasi ini, tk jls tol",Negatif,11/25/2024 10:04
1,Tai nge lag bgt,Negatif,11/25/2024 9:38
2,"Mau langganan bayar pake Indosat gak bisa bisa padahal biasanya bisa, pulsa gk cukup terus keteranganya udah di email di kasih arahan tetap aja gak bisa, kok hancur gini aplikasinya padahal mau langganan lo hadeh.",Negatif,11/25/2024 9:15
5,Mantap & keren2,Positif,11/25/2024 3:19
1,masa berlangganan lewat pulsa gabisa padahal pulsanya udah cukup,Negatif,11/25/2024 3:17
1,"gue rasa nya pngen deh ngomong kata² kasar tp tkt kena baned saking kesel nya ama nih aplikasi, eh vidio jgn buat gua nyesel dah karna uda download nih aplikasi, bner² bikin gua kesel setiap nonton, iklan mulu anjj, gaada yg bnerr mana putus² mulu lg jd ga konsen gara² eror ama kebanyakan iklan tolong ye di bnerin lg nih.",Negatif,11/25/2024 2:18
2,Kok nyedot Mulu ya orang udah ga pake lawak,Negatif,11/25/2024 0:52
2,Tolong jangan semua FTV di kasih langganan cuma persulit yg gatau apa2,Negatif,11/24/2024 23:14
1,"Tolong adakan fitur hapus riwayat tontonan, malu pas dipinjem keluarga kalo diliat riwayat tontonan saya.",Negatif,11/24/2024 22:55
4,"Buat tayangan udh bagus banget udh full hd banget ,fitur yang lain juga bagus cuma agak sedikit kecewa seharus nya pihak vidio harus lengkapin lagi di Chanel televesi nasional masih kurang lengkap, untuk penanyangan sport juga belum lengkap di liga nya ada beberapa liga yang belum ada, thank's",Negatif,11/24/2024 17:34
2,"Sepengalaman berlangganan di apk lain ketika mulai menonton apapun kalau sudah berlangganan ga akan muncul iklan sama sekali hanya di apk ini kynya sudah berlangganan tp ttp muncul iklan di awal,apa ada yg sama ? Apa cmn saya ya ?",Negatif,11/24/2024 16:44
5,Bagus,Positif,11/24/2024 16:34
1,"udah langganan paket yang ada liga belanda nya eh gabisa ditonton, malah diarahin nnton serie a, aplikasi nipu!!!",Negatif,11/24/2024 15:52
1,Kemahalan,Negatif,11/24/2024 15:44
5,Kuuuaammpprrooeet.. jd banyak berbayar... Katanya gratis..,Negatif,11/24/2024 15:43
1,"Sangat jelek, berlangganan pun masih ada iklan. Menang mahal doang. Sangat tidak rekomendasi",Negatif,11/24/2024 15:22
2,Knp tidak bsa berlangganan error trus,Negatif,11/24/2024 15:12
1,APALAH UDAHH BAYARR MALAH GABISA NONTON DI TV,Negatif,11/24/2024 14:22
2,bwosok tiwas wes langganan,Negatif,11/24/2024 14:15
1,"Muter2 gak jelass, mahal doang mending bajakan",Negatif,11/24/2024 14:00
3,"Makin ksini aplikasi nya makin banyak iklan mana gambar nya putus², kurangin dong iklan nya.",Negatif,11/24/2024 13:52
1,"Gak jelas nih apk padahal sinyal bagus bukak apk lain lancar, Eh buka nih apk luemot muter muter terus Gajelas",Negatif,11/24/2024 13:04
1,"sudah berlangganan 2x melalui apk XL masih belum juga bisa digunakan , sudah buat laporan via Gmail masih juga belum ditanggapi .. payah sekali",Negatif,11/24/2024 12:48
5,Keren,Positif,11/24/2024 12:35
1,sumpah lengkap banget lebih bagus dari pada tv tapi sayang nya kecil,Negatif,11/24/2024 12:25
1,premium kok masih ada iklan?,Negatif,11/24/2024 11:58
4,Fast respon saat ada kendala,Positif,11/24/2024 11:50
5,Keran pkoknya,Positif,11/24/2024 11:49
5,Bagus banget tapi kurangin iklannya,Negatif,11/24/2024 10:35
2,"iklannya banyak bgt astaghfirullah, mau catch-up acara setiap skip iklan 60 detik lalu berhenti 20 detik iklan lagi 30 detik, menjijikan",Negatif,11/24/2024 10:14
4,bagus,Positif,11/24/2024 9:13
5,Ok mantap,Positif,11/24/2024 5:27
2,Kecewa !! Setelah saya lakukan pembayaran untuk berlangganan tapi video yg mau saya tonton susah d buka ..,Negatif,11/24/2024 5:27
5,Aku harap puas hati setelah mendownload ny,Positif,11/24/2024 5:11
5,Sangat membantu tanks,Positif,11/24/2024 4:16
5,sangat puas,Positif,11/24/2024 4:00
5,Keren,Positif,11/24/2024 2:52
5,"Platformnya mudah diadaptasi. Kualitas Video Sudah Bagus. Kestabilan Streaming memang bergantung koneksi, namun jika dibandingkan channwl lain, Vidio masih banyak buffer di beberapa bagian video. Paket berlangganan juga kompetitif harganya. Tetap dipertahankan, minta tolong versi mobile supaya disediakan mode view live photo thuhmbnail.",Negatif,11/24/2024 2:48
5,"luar biasa buat vidio, sempat ada masalah karena pembelian masuk ke akun lain, dapat dibantu menyelesaikan. terbaik pokoknya. customer Service nya cepat tanggap.sukses terus buat video.",Positif,11/24/2024 2:28
5,Keren,Positif,11/24/2024 1:42
5,Bagus,Positif,11/24/2024 0:32
1,Kebanyakan iklan,Negatif,11/23/2024 23:31
4,atasi gangguan bug server Vidio Paket saya jadi tidak bisa di pake nunggu jam 1 malam,Negatif,11/23/2024 22:09
1,"Masa iya beli paket add on serie a 49rb exc ppn tp klu mau nonton serie a harus beli paket basic lain dulu.. kenapa nggak digabungkan saja thu paket ke paket lain? Klu paket add on free sih gpp ya, klu mau fair gabungan aja paket serie a dengan paket lain jgn dibuat pisah.. jd klu ada orang yg hanya mau nonton serie a saja tidak salah beli paket",Negatif,11/23/2024 18:40
